# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
Judy_Tyler Jailhouse_Rock
Victor_Wong The_Last_Emperor
Joan_Cusack Broadcast_News
Anne_Archer Fatal_Attraction
Valeria_Golino Rain_Man
Frances_Mc_Dormand Mississippi_Burning
Esther_Rolle Driving_Miss_Daisy
Melora_Walters Dead_Poets_Society
Gaby_Hoffmann Field_Of_Dreams
Brenda_Fricker My_Left_Foot
Rodney_A_Grant Dances_With_Wolves
Franc_D_Ambrosio The_Godfather_Part_III
Jerry_Springer The_Jerry_Springer_Show
Steve_Wilkos The_Jerry_Springer_Show
Joe_Mantegna Bugsy
Kate_Nelligan The_Prince_Of_Tides
Richard_Harris Unforgiven
Kiefer_Sutherland A_Few_Good_Men
Prunella_Scales Howards_End
Emma_Thompson In_The_Name_Of_The_Father
Gene_Barry Thunder_Road
Sam_Neill The_Piano
Archie_Panjabi Postman_Pat
Neal_Mc_Donough Minority_Report
Paul_Merton Have_I_Got_News_For_You
Jean_Vander_Pyl Top_Cat
William_Hurt A_I_Artificial_Intelligence
Lewis_Smith The_Adventures_Of_Buckaroo_Banzai_Across_The8th_Dimension
Bill_Murray Groundhog_Day
Brian_Doyle_Murray Groundhog_Day
Paul_Scofield Quiz_Show
Maria_Grazia_Cucinotta Il_Postino
Harve_Presnell Fargo
Jerry_O_Connell Jerry_Maguire
Skeet_Ulrich As_Good_As_It_Gets
Hugo_Speer The_Full_Monty
Stellan_Skarsgard Good_Will_Hunting
Danny_De_Vito L_A_Confidential
John_Gielgud Elizabeth
Giustino_Durano Life_Is_Beautiful
John_Travolta The_Thin_Red_Line
Philip_Baker_Hall The_Insider
Jeremy_Northam Gosford_Park
Suzanna_Leigh Boeing_Boeing
Henry_Bergman The_Circus
Alice_Joyce The_Green_Goddess
Claudette_Colbert The_Big_Pond
Montagu_Love Bulldog_Drummond
Catherine_Dale_Owen The_Rogue_Song
Josh_Saviano The_Wonder_Years
Gerard_Butler Mrs_Brown
Rip_Torn The_Larry_Sanders_Show
Milla_Jovovich The_Fifth_Element
Cylk_Cozart Three_To_Tango
Salma_Hayek Fools_Rush_In
